Target Word,Weighted Score
work,309.94
new,294.01
know,261.21
need,245.91
life,229.86
change,220.23
world,216.4
information,209.58
come,202.89
think,201.85
human,201.67
experience,192.32
look,192.22
child,191.75
place,185.63
group,185.2
say,180.83
social,180.51
long,173.95
high,173.51
great,171.69
different,167.16
example,166.49
food,165.17
problem,157.99
well,153.63
learn,151.33
feel,150.05
student,149.1
large,148.12
thing,146.81
right,144.59
process,144.02
provide,142.21
help,141.27
play,139.72
individual,139.17
number,138.84
want,138.29
ask,137.31
important,134.99
idea,124.74
result,123.43
value,121.84
music,121.22
create,121.22
school,121.18
increase,117.17
activity,115.78
animal,115.09
person,113.65
word,113.38
give,112.9
start,112.68
age,112.52
try,112.31
hand,111.65
study,110.92
live,110.74
book,109.43
see,108.07
form,107.72
system,107.47
fact,105.44
water,104.55
science,104.45
knowledge,103.89
show,102.45
tell,102.0
product,101.64
develop,101.47
art,101.02
self,100.93
mean,100.71
small,97.57
begin,96.98
percentage,96.94
allow,96.07
man,95.81
lead,95.63
require,94.28
include,94.08
view,93.53
understand,93.34
culture,92.3
let,91.75
point,90.91
public,90.77
behavior,90.29
friend,89.49
write,89.22
present,89.08
little,88.96
mind,88.41
family,88.4
old,87.73
area,87.62
produce,87.61
share,87.07
nature,86.95
face,86.71
leave,86.43
event,86.22
turn,86.1
country,86.01
call,85.54
cultural,85.45
environment,85.08
set,84.82
cause,84.65
class,83.45
consider,83.12
hour,82.81
city,82.77
base,82.72
reason,82.56
buy,81.97
hold,81.57
woman,80.79
society,80.77
away,80.55
believe,80.13
story,80.09
sound,79.89
home,79.74
end,79.54
performance,79.39
hear,79.31
follow,78.99
future,78.08
case,78.06
natural,77.95
object,77.76
company,76.83
read,76.64
effect,76.05
game,75.87
plant,75.2
grow,75.2
service,74.22
medium,73.97
term,73.68
early,73.44
cost,73.35
focus,73.23
offer,72.84
later,72.78
get,72.35
practice,72.28
bad,72.12
free,72.01
design,71.86
likely,71.71
sense,71.4
language,71.33
control,71.23
eat,70.8
happen,70.52
possible,70.41
bring,70.29
walk,69.98
situation,69.7
past,69.69
job,68.96
today,68.91
true,68.89
thank,68.66
spend,68.59
question,68.49
scientist,68.4
role,67.97
kind,67.75
skill,67.57
course,67.41
order,67.17
close,67.13
benefit,67.09
watch,67.07
type,67.0
attention,66.64
decision,66.51
able,66.21
market,66.07
big,65.98
tree,65.57
influence,65.56
run,65.09
development,65.06
lose,64.73
scientific,64.57
business,64.44
limit,63.88
far,63.71
enjoy,63.71
car,63.68
involve,63.62
build,63.6
film,63.44
particular,63.06
hard,63.02
sport,62.94
body,62.8
ability,62.47
century,61.95
material,61.61
matter,61.49
move,61.08
act,60.97
win,60.77
note,60.62
energy,60.2
low,60.19
personal,60.14
technology,59.97
tend,59.83
program,59.66
relationship,59.47
physical,59.45
space,59.39
appear,59.23
source,59.22
soon,59.17
real,59.05
history,58.78
difficult,58.61
research,58.55
room,58.26
easy,58.24
visit,58.23
certain,58.05
stop,57.97
period,57.92
approach,57.9
reality,57.81
rule,57.62
specie,57.61
challenge,57.56
difference,57.49
expect,57.45
open,57.38
suggest,57.33
community,57.23
step,57.16
simply,57.15
young,56.99
love,56.96
teacher,56.92
evidence,56.67
instead,56.6
drive,56.27
mother,56.16
emotion,56.15
interest,56.14
receive,56.11
like,56.09
understanding,56.0
light,55.92
worry,55.85
local,55.68
reach,55.53
level,55.49
team,55.35
member,55.3
modern,55.24
choose,55.04
resource,55.0
image,54.66
remember,54.45
parent,54.36
store,54.32
force,54.3
participant,54.22
bird,53.84
response,53.66
writing,53.59
population,53.56
answer,53.4
field,53.3
line,53.27
goal,53.11
second,53.1
feeling,53.02
pay,52.98
choice,52.25
subject,52.14
opportunity,51.99
brain,51.65
artist,51.45
emotional,51.35
issue,51.34
production,51.31
perform,51.19
website,51.05
actually,51.0
condition,50.93
quality,50.93
support,50.84
action,50.49
power,50.32
plan,50.31
common,50.23
lot,50.13
audience,50.08
computer,50.0
teach,49.94
accept,49.91
bear,49.85
travel,49.65
remain,49.29
record,49.05
price,48.99
reduce,48.75
message,48.7
success,48.48
add,48.39
consumer,48.38
major,48.23
fast,48.19
eye,48.02
serve,48.01
growth,47.94
strong,47.88
wait,47.8
thought,47.76
moment,47.7
perspective,47.38
avoid,47.22
state,47.06
theory,46.92
demand,46.73
customer,46.62
usually,46.35
shape,46.31
decide,46.29
break,46.18
project,46.11
negative,46.08
exist,46.05
explain,46.04
health,46.03
search,45.88
economic,45.84
memory,45.76
pattern,45.73
stand,45.68
